bookID,title,authors,average_rating,isbn,isbn13
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9.78044E+12
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9.78044E+12
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9.78044E+12
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78044E+12
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9.78044E+12
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9.78098E+12
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9.78044E+12
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9.78052E+12
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9.78035E+12
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.7814E+12
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9.78074E+12
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9.78052E+12
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9.78077E+12
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9.78077E+12
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9.78077E+12
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9.78077E+12
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78077E+12
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9.78006E+12
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9.78038E+12
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9.78038E+12
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9.78038E+12
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9.78035E+12
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9.78062E+12
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9.78062E+12
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9.78062E+12
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9.78062E+12
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9.78062E+12
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9.78098E+12
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9.78069E+12
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,9.78156E+12
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9.78039E+12
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78158E+12
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9.7816E+12
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.7816E+12
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9.78067E+12
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9.78014E+12
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9.7806E+12
63,The Changeling,Kate Horsley,3.55,1590301943,9.78159E+12
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9.78045E+12
67,The Known World,Edward P. Jones,3.83,0061159174,9.78006E+12
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9.78006E+12
69,The Known World,Edward P. Jones,3.83,0060749911,9.78006E+12
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9.78027E+12
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78193E+12
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9.78037E+12
75,Uncommon Carriers,John McPhee,3.95,0374280398,9.78037E+12
76,Heirs of General Practice,John McPhee,4.17,0374519749,9.78037E+12
77,The Control of Nature,John McPhee,4.24,0374522596,9.78037E+12
78,Annals of the Former World,John McPhee,4.34,0374518734,9.78037E+12
79,Coming Into the Country,John McPhee,4.22,0374522871,9.78037E+12
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9.78037E+12
81,Giving Good Weight,John McPhee,4.23,0374516006,9.78037E+12
83,Rising from the Plains,John McPhee,4.23,0374520658,9.78037E+12
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9.78082E+12
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9.78068E+12
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.7816E+12
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78158E+12
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9.7808E+12
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9.78087E+12
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9.78075E+12
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9.78087E+12
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9.78185E+12
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9.78076E+12
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9.78097E+12
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9.78158E+12
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9.78044E+12
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9.78044E+12
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9.78044E+12
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9.78077E+12
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9.7804E+12
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9.78077E+12
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9.78044E+12
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9.78062E+12
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78035E+12
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9.78039E+12
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9.78079E+12
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9.78047E+12
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9.78033E+12
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9.78006E+12
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9.78047E+12
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9.78007E+12
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9.78076E+12
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9.78047E+12
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9.78076E+12
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9.78076E+12
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9.7806E+12
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9.78081E+12
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9.78081E+12
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9.7806E+12
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9.78014E+12
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9.78045E+12
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9.78014E+12
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9.78082E+12
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9.78159E+12
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9.78049E+12
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9.78159E+12
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9.78078E+12
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9.78052E+12
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9.78014E+12
163,The Untouchable,John Banville,3.95,0679767479,9.78068E+12
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9.78157E+12
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9.78074E+12
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,9.78093E+12
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9.78074E+12
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9.78021E+12
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9.78156E+12
