title,published_date,category,rank,date_datetime
HOW COUNTRIES GO BROKE,2025-06-22,business & economics,1,2025-06-22 17:34:46.978746
ORIGINAL SIN,2025-06-22,political science,2,2025-06-22 17:34:46.978746
A DIFFERENT KIND OF POWER,2025-06-22,biography & autobiography,3,2025-06-22 17:34:46.978746
THIS DOG WILL CHANGE YOUR LIFE,2025-06-22,pets,4,2025-06-22 17:34:46.978746
TRUMP'S TRIUMPH,2025-06-22,history,5,2025-06-22 17:34:46.978746
HOW TO LOSE YOUR MOTHER,2025-06-22,biography & autobiography,6,2025-06-22 17:34:46.978746
THE ANXIOUS GENERATION,2025-06-22,psychology,7,2025-06-22 17:34:46.978746
MARK TWAIN,2025-06-22,biography & autobiography,8,2025-06-22 17:34:46.978746
THE BODY KEEPS THE SCORE,2025-06-22,medical,9,2025-06-22 17:34:46.978746
SO GAY FOR YOU,2025-06-22,biography & autobiography,10,2025-06-22 17:34:46.978746
FREE RIDE,2025-06-22,biography & autobiography,11,2025-06-22 17:34:46.978746
ABUNDANCE,2025-06-22,business & economics,12,2025-06-22 17:34:46.978746
THE DISENLIGHTENMENT,2025-06-22,art,13,2025-06-22 17:34:46.978746
THE HAVES AND HAVE-YACHTS,2025-06-22,history,14,2025-06-22 17:34:46.978746
BIG DUMB EYES,2025-06-22,biography & autobiography,15,2025-06-22 17:34:46.978746
THE FATE OF THE DAY,2025-05-18,history,1,2025-05-18 17:34:46.978746
MY NEXT BREATH,2025-05-18,biography & autobiography,2,2025-05-18 17:34:46.978746
MATRIARCH,2025-05-18,biography & autobiography,3,2025-05-18 17:34:46.978746
UPTOWN GIRL,2025-05-18,biography & autobiography,4,2025-05-18 17:34:46.978746
ABUNDANCE,2025-05-18,business & economics,5,2025-05-18 17:34:46.978746
THE ANXIOUS GENERATION,2025-05-18,psychology,6,2025-05-18 17:34:46.978746
THE BIBLE SAYS SO,2025-05-18,religion,7,2025-05-18 17:34:46.978746
THE GREATEST COMEBACK EVER,2025-05-18,biography & autobiography,8,2025-05-18 17:34:46.978746
THE BODY KEEPS THE SCORE,2025-05-18,medical,9,2025-05-18 17:34:46.978746
ON TYRANNY,2025-05-18,political science,10,2025-05-18 17:34:46.978746
SNAFU,2025-05-18,history,11,2025-05-18 17:34:46.978746
EVERYTHING IS TUBERCULOSIS,2025-05-18,social science,12,2025-05-18 17:34:46.978746
THIS AMERICAN WOMAN,2025-05-18,biography & autobiography,13,2025-05-18 17:34:46.978746
