bookID,title,authors,average_rating,isbn,isbn13,category
28195,Inkspell (Inkworld  #2),Cornelia Funke/Anthea Bell,3.92,0439554004,9.78044E+12,Juvenile Fiction
20001,Interfictions: An Anthology of Interstitial Writing,Delia Sherman/Theodora Goss/K. Tempest Bradford/Karen Jordan Allen/Rachel Pollack/Veronica Schanoes/Mikal Trimm/Colin Greenland/Vandana Singh/Matthew Cheney/Léa Silhol/Adrián Ferrero/Holly Phillips/Catherynne M. Valente/Christopher Barzak/Leslie What/Anna Tambour/Joy Marchand/Jon Singer/Csilla Kleinheincz/Michael J. DeLuca,3.77,1931520240,9.78193E+12,
32286,A Mad People's History of Madness,Dale Peterson,4.33,0822953315,9.78082E+12,Psychology
38583,Bite Me!: An Unofficial Guide to the World of Buffy the Vampire Slayer,Nikki Stafford,4.13,1550225405,9.78155E+12,Young Adult Fiction
38175,The South Beach Diet: The Delicious  Doctor-Designed  Foolproof Plan for Fast and Healthy Weight Loss,Arthur Agatston,3.45,1579546463,9.78158E+12,
2137,A Home at the End of the World,Michael Cunningham,3.91,0312424086,9.78031E+12,Fiction
28958,Ein Sommernachtsspiel,Kate Atkinson,3.72,3453152530,9.78345E+12,Book industries and trade
27507,Plan of Attack,Bob Woodward/Alice Mayhew,3.68,0743255488,9.78074E+12,Social Science
1384,The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,3.76,0140449116,9.78014E+12,
6838,Easy Prey (Lucas Davenport  #11),John Sandford,4.08,0743484185,9.78074E+12,Fiction
27456,Daniel Deronda,George Eliot/Earl L. Dachslager/George Stade,3.84,1593082908,9.78159E+12,
22508,The Making of a Philosopher: My Journey Through Twentieth-Century Philosophy,Colin McGinn,3.65,0060957603,9.78006E+12,Philosophy
9739,Speaker for the Dead (Ender's Saga  #2),Orson Scott Card,4.07,0812532570,9.78081E+12,Fiction
13448,The Dark Half,Stephen King,3.77,5550707004,9.78555E+12,Fiction
11693,The White Castle,Orhan Pamuk/Victoria Rowe Holbrook,3.46,0571164668,9.78057E+12,Literary Criticism
35120,Star Trek: Logs One and Two (Star Trek: Log  #1-2),Alan Dean Foster,3.46,0345495810,9.78035E+12,Fiction
29641,The End of the Affair,Graham Greene/Monica Ali,3.94,0099478447,9.7801E+12,Fiction
15580,In the Shadow of the Warlock Lord (The Sword of Shannara  #1),Terry Brooks,4.06,0345461460,9.78035E+12,Fiction
22350,Kid Eternity,Grant Morrison/Duncan Fegredo,3.41,1401209335,9.7814E+12,COMICS & GRAPHIC NOVELS
12975,Twelfth Night,William Shakespeare/Alan Durband,3.98,0812036042,9.78081E+12,Drama
28078,The Birth of Venus,Sarah Dunant,3.81,0812968972,9.78081E+12,Fiction
24001,Soldados de Salamina,Javier Cercas,3.81,8483101610,9.78848E+12,Fiction
10429,Cuba: A New History,Richard Gott,4.06,0300111142,9.7803E+12,History
19351,The Epic of Gilgamesh,Anonymous/N.K. Sandars,3.68,0141026286,9.78014E+12,Poetry
33456,A Dirty Job (Grim Reaper  #1),Christopher Moore,4.07,0060590270,9.78006E+12,Fiction
41423,The Outlaws of Sherwood,Robin McKinley,3.77,0441013252,9.78044E+12,Young Adult Fiction
1684,The City of God,Augustine of Hippo/Thomas Merton/Marcus Dods,3.92,0679783199,9.78068E+12,Apologetics
11617,The Life of Emily Dickinson,Richard B. Sewall,4.29,0674530802,9.78067E+12,Biography & Autobiography
31974,Mac OS X: Tiger Edition (The Missing Manual),David Pogue,3.79,0596009410,9.7806E+12,Computers
31105,This Christmas,Jane Green/Jennifer Coburn/Liz Ireland,3.19,0821778064,9.78082E+12,Fiction
1378,The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,3.86,0872205428,9.78087E+12,Poetry
18630,The Player of Games (Culture  #2),Iain M. Banks,4.27,0061053562,9.78006E+12,Fiction
19506,The World as Will and Representation  Vol. 1,Arthur Schopenhauer/Judith Norman/E.F.J. Payne/Alistair Welchman/Christropher Janaway,4.19,0486217612,9.78049E+12,
38787,Pedro Páramo,Juan Rulfo/Margaret Sayers Peden/Susan Sontag,4.05,0802133908,9.7808E+12,Fiction
13746,Julie and Julia: My Year of Cooking Dangerously,Julie Powell,3.7,0316013269,9.78032E+12,BIOGRAPHY & AUTOBIOGRAPHY
27006,Chop Shop (Bug Man  #2),Tim Downs,4.22,1582294011,9.78158E+12,Philosophy
9303,Lucy Sullivan Is Getting Married,Marian Keyes,3.77,0060090375,9.78006E+12,Fiction
16449,Oh My Stars,Lorna Landvik,3.89,0345468368,9.78035E+12,Fiction
12194,Lord Jim,Joseph Conrad,3.62,1551111721,9.78155E+12,Fiction
43177,Brown V. Board of Education: A Civil Rights Milestone and Its Troubled Legacy,James T. Patterson,3.85,0195156323,9.7802E+12,History
25752,Blind Flight,Hilary H. Milton,3.63,0590321145,9.78059E+12,
24804,A Parchment of Leaves,Silas House,4.18,0345464974,9.78035E+12,Fiction
30001,Lost Stories,Dashiell Hammett/Vince Emery/Joe Gores,3.98,0972589813,9.78097E+12,American literature
25460,Animal  Vegetable  Miracle: A Year of Food Life,Barbara Kingsolver/Steven L. Hopp/Camille Kingsolver/Richard A. Houser,4.04,0060852550,9.78006E+12,
32507,Chasing the Dime,Michael Connelly,3.96,044661162X,9.78045E+12,Fiction
6970,Prince of Ice (Tale of the Demon World  #3),Emma Holly,3.99,0425212599,9.78043E+12,
10174,Jenny and the Jaws of Life: Short Stories,Jincy Willett/David Sedaris,3.74,0312306180,9.78031E+12,Fiction
1852,The Call of the Wild,Jack London/Avi,3.86,0439227143,9.78044E+12,Fiction
29140,Melliandra,J.V. Jones,3.79,3404204077,9.7834E+12,Fiction
14106,Grammar Snobs Are Great Big Meanies: A Guide to Language for Fun and Spite,June Casagrande,3.78,0143036831,9.78014E+12,Language Arts & Disciplines
28344,Los hermanos Karamazov,Fyodor Dostoyevsky/Alexander Pushkin/Guillermo Suazo Pascual,4.32,847640509X,9.78848E+12,Fiction
10080,Mary Queen of Scots and the Murder of Lord Darnley,Alison Weir,4.04,0712664564,9.78071E+12,Biography & Autobiography
18977,The Silmarillion,J.R.R. Tolkien/Christopher Tolkien,3.92,0048231533,9.78005E+12,Fiction
12447,You Can't Go Home Again,Thomas Wolfe,4.04,0060930055,9.78006E+12,
32213,Expectant Father,Melinda Curtis,3.6,0373713010,9.78037E+12,Fiction
44176,Saints at the River,Ron Rash,3.81,0312424914,9.78031E+12,Fiction
16542,The Black Tower (Philip José Farmer's The Dungeon  #1),Richard A. Lupoff/Bruce Coville/Philip José Farmer/Charles de Lint/Robin Wayne Bailey/Robert Gould,3.29,0553273469,9.78055E+12,
21062,A Rose for the Crown,Anne Easter Smith,4.02,0743276876,9.78074E+12,Fiction
43650,Something Borrowed,Rebecca Hagan Lee,4.14,0786500735,9.78079E+12,Fiction
27419,The Works and Days/Theogony,Hesiod,3.75,1419188518,9.78142E+12,Literary Criticism
12248,Return to Ithaca (Tales from the Odyssey  #5),Mary Pope Osborne/Troy Howell,4.14,0786809930,9.78079E+12,Fiction
1428,By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,3.57,0061122092,9.78006E+12,Fiction
17600,Homemade Love,bell hooks/Shane W. Evans,4.18,0786806435,9.78079E+12,Juvenile Fiction
43994,Trapped (Mississippi #2),Greg Iles,4,0451207505,9.78045E+12,History
14698,On the Lines of Morris' Romances: Two Books That Inspired J. R. R. Tolkien-The Wood Beyond the World and the Well at the World's End,William Morris/Michale W. Perry,4.09,1587420244,9.78159E+12,
3103,Maurice,E.M. Forster,4.03,0393310329,9.78039E+12,
40326,More Plums in One (Stephanie Plum  #4-6),Janet Evanovich,4.45,031236296X,9.78031E+12,Fiction
16640,The Sorrows of Young Werther,Johann Wolfgang von Goethe/Burton Pike/Edla Valdna,3.67,0812969901,9.78081E+12,Fiction
15930,Wokini: A Lakota Journey to Happiness and Self-Understanding,Billy Mills/Nicholas Sparks,3.57,1561706604,9.78156E+12,Dakota Indians
15680,Exile and the Kingdom,Albert Camus/Carol Cosman/Orhan Pamuk,3.89,0307278581,9.78031E+12,Fiction
7957,First Meetings in Ender's Universe (Ender's Saga  #0.5),Orson Scott Card,3.84,0765347989,9.78077E+12,Child soldiers
35825,The Blonde on the Street Corner,David Goodis,3.71,1852424478,9.78185E+12,Fiction
12322,Daybreak: Thoughts on the Prejudices of Morality,Friedrich Nietzsche/R.J. Hollingdale,4.18,0521599636,9.78052E+12,
27769,L'Étranger,Albert Camus,3.98,207030602X,9.78207E+12,Study Aids
22820,犬夜叉  27,Rumiko Takahashi,4.28,4091256473,9.78409E+12,
28859,The Gospel According to Jesus Christ,José Saramago/Giovanni Pontiero,4.29,186046095X,9.78186E+12,Language Arts & Disciplines
18957,The Corner: A Year in the Life of an Inner-City Neighborhood,David Simon/Edward Burns,4.43,0767900316,9.78077E+12,True Crime
45220,I Never Promised You a Rose Garden,Hannah  Green/Joanne Greenberg,3.87,0451160312,9.78045E+12,
30353,Tidings of Great Joy,Sandra Brown,3.62,0553576003,9.78055E+12,Fiction
25802,The Deception of the Emerald Ring (Pink Carnation  #3),Lauren Willig,3.91,0525949771,9.78053E+12,
29129,The Last Unicorn,Peter S. Beagle,4.17,0345254848,9.78035E+12,Fiction
10170,The Devil's in the Details (A Camilla MacPhee Mystery  #4),Mary Jane Maffini,4,189491712X,9.78189E+12,
36715,Liberty Before Liberalism,Quentin Skinner,3.9,0521638763,9.78052E+12,History
39180,Orin Aoraiosaa: Songs for Selected Heads,John    Mason,4.39,1881244067,9.78188E+12,
3682,A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,3.79,0689875347,9.78069E+12,Juvenile Fiction
